resource_id,title,provider,resource_type,area,skill_ids,target_level,duration_hours,cost,url,description,data_status
RES-CL-001,Fundamentos de Computação em Nuvem,CareerPath Academy,CURSO,CLOUD,CL-CLOUD-01,1-3,12,GRATUITO,internal://careerpath/res-cl-001,"IaaS, PaaS, SaaS, regiões, disponibilidade, custos e responsabilidade compartilhada.",FICTICIO_RECONSTRUIDO
RES-CL-002,Laboratório OCI Essencial,CareerPath Academy,LAB,CLOUD,CL-OCI-02,1-3,18,GRATUITO,internal://careerpath/res-cl-002,"Compute, VCN, Object Storage, IAM e documentação de arquitetura.",FICTICIO_RECONSTRUIDO
RES-CL-003,Linux para Operações Cloud,CareerPath Academy,CURSO,CLOUD,CL-LINUX-03,1-3,16,GRATUITO,internal://careerpath/res-cl-003,"Arquivos, permissões, processos, rede, logs, SSH e serviços.",FICTICIO_RECONSTRUIDO
RES-CL-004,Redes para Cloud,CareerPath Academy,CURSO,CLOUD,CL-NET-04,1-3,14,GRATUITO,internal://careerpath/res-cl-004,"IP, sub-redes, DNS, portas, rotas, NAT e firewalls.",FICTICIO_RECONSTRUIDO
RES-CL-005,IAM e Menor Privilégio na OCI,CareerPath Academy,LAB,CLOUD,CL-IAM-05,1-3,8,GRATUITO,internal://careerpath/res-cl-005,"Grupos, políticas, compartments e controle seguro de acesso.",FICTICIO_RECONSTRUIDO
RES-CL-006,Containers para Operações,CareerPath Academy,LAB,CLOUD,CL-DOCKER-06,1-2,12,GRATUITO,internal://careerpath/res-cl-006,"Imagens, volumes, redes, registries e deploy em VM.",FICTICIO_RECONSTRUIDO
RES-CL-007,Observabilidade Básica,CareerPath Academy,CURSO,CLOUD,CL-MON-07,1-2,10,GRATUITO,internal://careerpath/res-cl-007,"Logs, métricas, health checks e alertas acionáveis.",FICTICIO_RECONSTRUIDO
RES-CL-008,CI/CD com GitHub Actions,CareerPath Academy,LAB,CLOUD,CL-CICD-08,0-2,10,GRATUITO,internal://careerpath/res-cl-008,"Pipeline de build, testes, empacotamento e deploy seguro.",FICTICIO_RECONSTRUIDO
RES-DA-001,SQL para Análise de Dados,CareerPath Academy,CURSO,DADOS,DA-SQL-01,1-3,18,GRATUITO,internal://careerpath/res-da-001,"JOIN, GROUP BY, CTE, funções de janela e perguntas de negócio.",FICTICIO_RECONSTRUIDO
RES-DA-002,Python e Pandas para Dados,CareerPath Academy,PROJETO,DADOS,DA-PY-02,1-3,22,GRATUITO,internal://careerpath/res-da-002,"Limpeza, transformação, valores ausentes e automação reproduzível.",FICTICIO_RECONSTRUIDO
RES-DA-003,Excel para Análise Auditável,CareerPath Academy,CURSO,DADOS,DA-EXCEL-03,1-3,16,GRATUITO,internal://careerpath/res-da-003,"Fórmulas, tabelas dinâmicas, filtros e gráficos com fonte clara.",FICTICIO_RECONSTRUIDO
RES-DA-004,Power BI e Storytelling de Dados,CareerPath Academy,PROJETO,DADOS,DA-BI-04,1-3,20,GRATUITO,internal://careerpath/res-da-004,"Modelo de dados, KPIs, medidas, filtros e visualizações adequadas.",FICTICIO_RECONSTRUIDO
RES-DA-005,Estatística Básica para Análise,CareerPath Academy,CURSO,DADOS,DA-STAT-05,1-2,12,GRATUITO,internal://careerpath/res-da-005,"Média, mediana, dispersão, correlação, amostragem e limitações.",FICTICIO_RECONSTRUIDO
RES-DA-006,ETL e Qualidade de Dados,CareerPath Academy,LAB,DADOS,DA-ETL-06,1-2,14,GRATUITO,internal://careerpath/res-da-006,"Pipeline, schema, duplicidade, validações, logs e preservação da origem.",FICTICIO_RECONSTRUIDO
RES-DA-007,Git para Projetos de Dados,CareerPath Academy,LAB,DADOS,DA-GIT-07,1-2,8,GRATUITO,internal://careerpath/res-da-007,"Versionamento de scripts e notebooks, requirements e reprodutibilidade.",FICTICIO_RECONSTRUIDO
